complaint_id,institution_id,received_date,complainant_doc_type,product_category,channel,motivo_code,severity,description_text,description_language,complainant_age_range,complainant_district,submission_method,original_reference_id,resolution_status
FIN-2026-0000001,SBS-009012,2026-04-19,CE,CREDITOS,TELEFONO,CALIDAD_SERVICIO,MEDIUM,El 2026-04-19 realicé un retiro por la línea telefónica de 1502.75 soles y nunca recibí el dinero. FINANCIERA_DEMO_003 dice que la operación fue exitosa pero no es así.,es,UNDER_25,150102,CAJERO,,pendiente
FIN-2026-0000002,SBS-009012,2026-03-26,PASAPORTE,DEPOSITOS,TELEFONO,OPERACION_NO_RECONOCIDA,LOW,"FINANCIERA_DEMO_003 aplicó intereses no informados a mi cuenta de depósitos, lo que sumó S/ 1717.28 adicionales en el último estado de cuenta del 2026-03-26.",es,45_54,150115,CAJERO,,pendiente
FIN-2026-0000003,SBS-009012,2026-03-19,CE,OTRO,OTRO,OPERACION_NO_RECONOCIDA,MEDIUM,Hay una demora excesiva en la atención de mi solicitud sobre producto bancario. Llevo más de 30 días esperando respuesta sobre el cargo de 1445.31.,es,35_44,150111,AGENCIA,,pendiente
FIN-2026-0000004,SBS-009012,2026-04-24,PASAPORTE,CREDITOS,AGENCIA,OPERACION_NO_RECONOCIDA,CRITICAL,Se realizó un cargo no autorizado por S/ 129.37 en mi crédito el 2026-04-24. Solicito la reversa inmediata y revisión del estado de cuenta.,es,55_64,140101,CAJERO,,pendiente
FIN-2026-0000005,SBS-009012,2026-03-31,PASAPORTE,SEGUROS,APP_MOVIL,CALIDAD_SERVICIO,CRITICAL,Mi seguro reporta movimientos que yo no he realizado por un total de S/ 147.95. Reporté el caso por la app móvil pero no he recibido respuesta de FINANCIERA_DEMO_003.,es,35_44,150133,AGENCIA,,pendiente
FIN-2026-0000006,SBS-009012,2026-03-06,CE,TARJETA_CREDITO,APP_MOVIL,COBRO_INDEBIDO,MEDIUM,Me cancelaron mi tarjeta de crédito sin previo aviso el 2026-03-06. Necesito conocer los motivos y recuperar el saldo de 487.54 soles.,es,55_64,150115,APP_MOVIL,,pendiente
FIN-2026-0000007,SBS-009012,2026-05-09,RUC,TARJETA_CREDITO,WEB,CALIDAD_SERVICIO,CRITICAL,Me cancelaron mi tarjeta de crédito sin previo aviso el 2026-05-09. Necesito conocer los motivos y recuperar el saldo de 825.04 soles.,es,55_64,150115,AGENCIA,,pendiente
FIN-2026-0000008,SBS-009012,2026-04-17,DNI,CREDITOS,WEB,COBRO_INDEBIDO,CRITICAL,Solicité información sobre comisiones en mi crédito el 2026-04-17. La información que me proporcionó FINANCIERA_DEMO_003 no coincide con lo que aparece en el contrato firmado.,es,45_54,140101,WEB,,pendiente
FIN-2026-0000009,SBS-009012,2026-03-31,PASAPORTE,TARJETA_DEBITO,TELEFONO,DEMORA_ATENCION,MEDIUM,El día 2026-03-31 intenté realizar una operación de 1202.00 soles por la línea telefónica y el sistema mostró un error. La operación nunca se completó pero el monto fue descontado.,es,35_44,150115,CAJERO,,pendiente
FIN-2026-0000010,SBS-009012,2026-05-15,PASAPORTE,TARJETA_CREDITO,TELEFONO,OPERACION_NO_RECONOCIDA,LOW,Se realizó un cargo no autorizado por S/ 201.22 en mi tarjeta de crédito el 2026-05-15. Solicito la reversa inmediata y revisión del estado de cuenta.,es,UNDER_25,150111,WEB,,pendiente
